"log_date","websiteOpen","foodInput","initialList","listChange","cartPurchase","websiteOpen_to_foodInput","foodInput_to_initialList","initialList_to_listChange","listChange_to_cartPurchase","websiteOpen_to_cartPurchase"
"2025-04-01",200,161,124,78,35,0.8050,0.7702,0.6290,0.4487,0.1750
"2025-04-02",200,165,124,82,47,0.8250,0.7515,0.6613,0.5732,0.2350
"2025-04-03",200,154,109,74,34,0.7700,0.7078,0.6789,0.4595,0.1700
"2025-04-04",200,152,107,66,29,0.7600,0.7039,0.6168,0.4394,0.1450
"2025-04-05",200,163,128,87,48,0.8150,0.7853,0.6797,0.5517,0.2400
"2025-04-06",200,161,129,83,39,0.8050,0.8012,0.6434,0.4699,0.1950
"2025-04-07",200,163,128,88,41,0.8150,0.7853,0.6875,0.4659,0.2050
"2025-04-08",200,164,124,78,33,0.8200,0.7561,0.6290,0.4231,0.1650
"2025-04-09",200,150,115,74,40,0.7500,0.7667,0.6435,0.5405,0.2000
"2025-04-10",200,156,118,82,49,0.7800,0.7564,0.6949,0.5976,0.2450
"2025-04-11",200,162,122,86,45,0.8100,0.7531,0.7049,0.5233,0.2250
"2025-04-12",200,156,118,71,37,0.7800,0.7564,0.6017,0.5211,0.1850
"2025-04-13",200,156,116,76,28,0.7800,0.7436,0.6552,0.3684,0.1400
"2025-04-14",200,164,121,84,48,0.8200,0.7378,0.6942,0.5714,0.2400
"2025-04-15",200,151,113,78,34,0.7550,0.7483,0.6903,0.4359,0.1700
"2025-04-16",200,151,118,90,43,0.7550,0.7815,0.7627,0.4778,0.2150
"2025-04-17",200,163,123,79,30,0.8150,0.7546,0.6423,0.3797,0.1500
"2025-04-18",200,154,123,79,36,0.7700,0.7987,0.6423,0.4557,0.1800
"2025-04-19",200,158,127,86,33,0.7900,0.8038,0.6772,0.3837,0.1650
"2025-04-20",200,157,124,86,45,0.7850,0.7898,0.6935,0.5233,0.2250
"2025-04-21",200,161,125,84,38,0.8050,0.7764,0.6720,0.4524,0.1900
"2025-04-22",200,154,116,79,39,0.7700,0.7532,0.6810,0.4937,0.1950
"2025-04-23",200,155,108,67,31,0.7750,0.6968,0.6204,0.4627,0.1550
"2025-04-24",200,146,108,73,38,0.7300,0.7397,0.6759,0.5205,0.1900
"2025-04-25",200,157,113,74,35,0.7850,0.7197,0.6549,0.4730,0.1750
"2025-04-26",200,160,112,81,50,0.8000,0.7000,0.7232,0.6173,0.2500
"2025-04-27",200,161,125,77,33,0.8050,0.7764,0.6160,0.4286,0.1650
"2025-04-28",200,157,115,74,44,0.7850,0.7325,0.6435,0.5946,0.2200
"2025-04-29",200,157,108,66,33,0.7850,0.6879,0.6111,0.5000,0.1650
"2025-04-30",200,160,127,84,39,0.8000,0.7938,0.6614,0.4643,0.1950
"2025-05-01",200,160,116,69,41,0.8000,0.7250,0.5948,0.5942,0.2050
"2025-05-02",200,156,119,84,41,0.7800,0.7628,0.7059,0.4881,0.2050
"2025-05-03",200,154,108,68,33,0.7700,0.7013,0.6296,0.4853,0.1650
"2025-05-04",200,148,122,90,43,0.7400,0.8243,0.7377,0.4778,0.2150
"2025-05-05",200,156,125,86,42,0.7800,0.8013,0.6880,0.4884,0.2100
"2025-05-06",200,163,129,82,40,0.8150,0.7914,0.6357,0.4878,0.2000
"2025-05-07",200,168,127,88,50,0.8400,0.7560,0.6929,0.5682,0.2500
"2025-05-08",200,161,119,86,44,0.8050,0.7391,0.7227,0.5116,0.2200
"2025-05-09",200,165,112,72,39,0.8250,0.6788,0.6429,0.5417,0.1950
"2025-05-10",200,156,120,84,45,0.7800,0.7692,0.7000,0.5357,0.2250
"2025-05-11",200,164,127,80,44,0.8200,0.7744,0.6299,0.5500,0.2200
"2025-05-12",200,158,120,79,36,0.7900,0.7595,0.6583,0.4557,0.1800
"2025-05-13",200,152,116,78,44,0.7600,0.7632,0.6724,0.5641,0.2200
"2025-05-14",200,163,112,79,39,0.8150,0.6871,0.7054,0.4937,0.1950
"2025-05-15",200,171,126,88,41,0.8550,0.7368,0.6984,0.4659,0.2050
"2025-05-16",200,163,121,78,46,0.8150,0.7423,0.6446,0.5897,0.2300
"2025-05-17",200,150,109,69,38,0.7500,0.7267,0.6330,0.5507,0.1900
"2025-05-18",200,159,122,85,38,0.7950,0.7673,0.6967,0.4471,0.1900
"2025-05-19",200,154,125,82,40,0.7700,0.8117,0.6560,0.4878,0.2000
"2025-05-20",200,164,118,75,34,0.8200,0.7195,0.6356,0.4533,0.1700
"2025-05-21",200,173,137,94,43,0.8650,0.7919,0.6861,0.4574,0.2150
"2025-05-22",200,162,122,81,33,0.8100,0.7531,0.6639,0.4074,0.1650
"2025-05-23",200,160,120,78,35,0.8000,0.7500,0.6500,0.4487,0.1750
"2025-05-24",200,161,122,77,36,0.8050,0.7578,0.6311,0.4675,0.1800
"2025-05-25",200,152,118,73,41,0.7600,0.7763,0.6186,0.5616,0.2050
"2025-05-26",200,155,120,84,34,0.7750,0.7742,0.7000,0.4048,0.1700
"2025-05-27",200,150,113,77,44,0.7500,0.7533,0.6814,0.5714,0.2200
"2025-05-28",200,163,113,71,25,0.8150,0.6933,0.6283,0.3521,0.1250
"2025-05-29",200,148,111,71,34,0.7400,0.7500,0.6396,0.4789,0.1700
"2025-05-30",200,166,126,82,38,0.8300,0.7590,0.6508,0.4634,0.1900
"2025-05-31",0,0,0,0,1,,,,,
