"domain","division","category","brand","name","price","score","reviewCnt","image","link","weight","unit"
과일,사과/배,사과,파머스픽,당도선별사과 5~6입/봉 (1.3kg내외),14900,4.6,23025,https://sitem.ssgcdn.com/95/82/00/item/1000263008295_i1_290.jpg,https://emart.ssg.com/item/itemView.ssg?itemId=1000263008295&siteNo=6001&salestrNo=2037,1300,g
과일,사과/배,사과,없음,[당도선별] 유명산지 청송 사과 (1.5kg),20900,4.7,149012,https://sitem.ssgcdn.com/66/34/28/item/1000633283466_i1_290.jpg,https://emart.ssg.com/item/itemView.ssg?itemId=1000633283466&siteNo=7009&salestrNo=2551,1500,g
과일,사과/배,사과,없음,I`mperfect 당도선별 못난이 사과 2kg (봉),18990,4.6,16946,https://sitem.ssgcdn.com/52/37/28/item/1000633283752_i1_290.jpg,https://emart.ssg.com/item/itemView.ssg?itemId=1000633283752&siteNo=7009&salestrNo=2551,2000,g
과일,사과/배,사과,없음,[당도선별] 사과 1.2kg(봉),14980,4.5,3046,https://sitem.ssgcdn.com/20/37/28/item/1000633283720_i1_290.jpg,https://emart.ssg.com/item/itemView.ssg?itemId=1000633283720&siteNo=7009&salestrNo=2551,1200,g
과일,사과/배,사과,없음,미니 사과 (1.5kg내외),19800,4.5,825,https://sitem.ssgcdn.com/15/88/83/item/1000567838815_i1_290.jpg,https://emart.ssg.com/item/itemView.ssg?itemId=1000567838815&siteNo=6001&salestrNo=2037,1500,g
과일,사과/배,배,자연주의,저탄소인증 마음이 예쁜 작은 배 4~5입/봉 (1.5kg내외),12900,3.0,4,https://sitem.ssgcdn.com/45/39/47/item/1000684473945_i1_290.jpg,https://emart.ssg.com/item/itemView.ssg?itemId=1000684473945&siteNo=6001&salestrNo=2037,1500,g
과일,사과/배,배,없음,청년이 담은 배 3kg/박스,25900,4.5,4198,https://sitem.ssgcdn.com/20/43/26/item/1000304264320_i1_290.jpg,https://emart.ssg.com/item/itemView.ssg?itemId=1000304264320&siteNo=6001&salestrNo=2037,3000,g
과일,사과/배,배,없음,I`mperfect 당도선별 못난이배 3~4입 2kg (봉),21980,4.5,20204,https://sitem.ssgcdn.com/71/04/25/item/1000633250471_i1_290.jpg,https://emart.ssg.com/item/itemView.ssg?itemId=1000633250471&siteNo=7009&salestrNo=2551,2000,g
과일,사과/배,배,파머스픽,신고배 2입/봉 (1.2kg),16500,4.7,1737,https://sitem.ssgcdn.com/37/23/06/item/1000262062337_i1_290.jpg,https://emart.ssg.com/item/itemView.ssg?itemId=1000262062337&siteNo=7009&salestrNo=2551,1200,g
과일,사과/배,배,없음,저탄소 배 2입/팩 (1.2kg),19800,4.6,92,https://sitem.ssgcdn.com/71/73/27/item/1000631277371_i1_290.jpg,https://emart.ssg.com/item/itemView.ssg?itemId=1000631277371&siteNo=7009&salestrNo=2551,1200,g
과일,감귤/만감류,감귤,없음,저탄소 제주 천혜향 1kg/봉 (5~6입),19800,4.7,25,https://sitem.ssgcdn.com/15/41/20/item/1000646204115_i1_290.jpg,https://emart.ssg.com/item/itemView.ssg?itemId=1000646204115&siteNo=7009&salestrNo=2551,1000,g
과일,감귤/만감류,감귤,우체국쇼핑,[재일영농] 프리미엄 천하일품 산지직송 제주 제철 감귤 2kg,18900,0.0,0,https://sitem.ssgcdn.com/02/09/93/item/1000679930902_i1_290.jpg,https://emart.ssg.com/item/itemView.ssg?itemId=1000679930902&siteNo=6001&salestrNo=6005,2000,g
과일,감귤/만감류,감귤,제주푸드마씸,조은돌담 제주 카라향 4.5kg (중대과 18-30과 실중량),37500,0.0,0,https://sitem.ssgcdn.com/64/90/49/item/1000684499064_i1_290.jpg,https://emart.ssg.com/item/itemView.ssg?itemId=1000684499064&siteNo=6001&salestrNo=6005,4500,g
과일,감귤/만감류,감귤,없음,[제철식품] 캘리포니아산 블랙라벨 오렌지 10kg (최대 80과),39900,5.0,2,https://sitem.ssgcdn.com/68/13/09/item/1000645091368_i1_290.jpg,https://emart.ssg.com/item/itemView.ssg?itemId=1000645091368&siteNo=6001&salestrNo=6005,10000,g
과일,감귤/만감류,감귤,없음,[제주산지직송] 못난이 카라향 혼합과 5kg,29900,0.0,0,https://sitem.ssgcdn.com/12/24/48/item/1000684482412_i1_290.jpg,https://emart.ssg.com/item/itemView.ssg?itemId=1000684482412&siteNo=6001&salestrNo=6005,5000,g
과일,감귤/만감류,천혜향,없음,중문 달콤 천혜향 (17~25입 2.5kg),29900,4.4,129,https://sitem.ssgcdn.com/28/42/82/item/1000680824228_i1_290.jpg,https://emart.ssg.com/item/itemView.ssg?itemId=1000680824228&siteNo=7009&salestrNo=2551,2500,g
과일,감귤/만감류,한라봉,없음,서귀포 한라봉 1.8kg (박스),29900,4.6,5120,https://sitem.ssgcdn.com/99/86/24/item/1000633248699_i1_290.jpg,https://emart.ssg.com/item/itemView.ssg?itemId=1000633248699&siteNo=7009&salestrNo=2551,1800,g
과일,감귤/만감류,한라봉,없음,중문 한라봉 1.8kg (5-8입),29900,4.6,918,https://sitem.ssgcdn.com/52/64/88/item/1000647886452_i1_290.jpg,https://emart.ssg.com/item/itemView.ssg?itemId=1000647886452&siteNo=7009&salestrNo=2551,1800,g
과일,감귤/만감류,천혜향,없음,[당도선별] 서귀포 천혜향 1.8kg (박스),29900,4.7,5055,https://sitem.ssgcdn.com/93/86/24/item/1000633248693_i1_290.jpg,https://emart.ssg.com/item/itemView.ssg?itemId=1000633248693&siteNo=7009&salestrNo=2551,1800,g
과일,감귤/만감류,카라향,파머스픽,카라향 1.3kg/팩,11900,4.7,4,https://sitem.ssgcdn.com/77/23/55/item/1000683552377_i1_290.jpg,https://emart.ssg.com/item/itemView.ssg?itemId=1000683552377&siteNo=6001&salestrNo=2037,1300,g
과일,수박/멜론/참외/토마토,수박,없음,하우스 봄 수박 (5kg미만),34900,4.4,172,https://sitem.ssgcdn.com/81/36/28/item/1000633283681_i1_290.jpg,https://emart.ssg.com/item/itemView.ssg?itemId=1000633283681&siteNo=7009&salestrNo=2551,5000,g
과일,수박/멜론/참외/토마토,수박,자연맛남,국내산 고당도 수박 6-7kg (안전포장),26900,0.0,0,https://sitem.ssgcdn.com/42/59/91/item/1000673915942_i1_290.jpg,https://emart.ssg.com/item/itemView.ssg?itemId=1000673915942&siteNo=6001&salestrNo=6005,7000,g
과일,수박/멜론/참외/토마토,수박,농부들의수확,[파손방지 에어포장]당도선별 국내산 고당도 정품 수박 4kg,27900,4.4,76,https://sitem.ssgcdn.com/34/96/65/item/1000337659634_i1_290.jpg,https://emart.ssg.com/item/itemView.ssg?itemId=1000337659634&siteNo=6001&salestrNo=6005,4000,g
