"id","productname","sales_count","base_stock","turnover_ratio","partition_date"
1,향이 진한 다진마늘 (200g),1,54,0.0185185,"2025-04-01"
2,[백설] 치킨 튀김가루 1kg,1,10,0.1,"2025-04-01"
3,하루채소 대파 (200g),5,59,0.0847458,"2025-04-01"
4,냉동 척아이롤 소고기 국거리 1.2kg,1,12,0.0833333,"2025-04-01"
5,파머스픽 흙대파 (봉),2,65,0.0307692,"2025-04-01"
6,소소한하루 당근(봉),1,10,0.1,"2025-04-01"
7,친환경 흰 목이버섯 150g,1,10,0.1,"2025-04-01"
8,생강&매실 맛술830ml,2,35,0.0571429,"2025-04-01"
9,시골참기름 300ml(병),5,17,0.294118,"2025-04-01"
10,헬스꼬기 지방제한 호주산 소고기 다짐육 150gX5팩,1,15,0.0666667,"2025-04-01"
11,양파 (1.8kg),2,43,0.0465116,"2025-04-01"
12,국산 건표고버섯(슬라이스) 70g,1,10,0.1,"2025-04-01"
13,흙대파 750g,3,67,0.0447761,"2025-04-01"
14,사과당근주스 1000ml,1,10,0.1,"2025-04-01"
15,[백설] 갈색설탕 (중백당) 1kg,3,23,0.130435,"2025-04-01"
16,버터밀크팬케이크믹스180g,1,10,0.1,"2025-04-01"
17,딸기우유 200ml*3입,2,10,0.2,"2025-04-01"
18,생크림카스테라 150g,1,10,0.1,"2025-04-01"
19,[밀키요] 크림치즈 블랙페퍼 베이컨100g 1개입,1,10,0.1,"2025-04-01"
20,딸기잼 800g,1,10,0.1,"2025-04-01"
21,계란간장소스 300ml,4,17,0.235294,"2025-04-01"
22,I`mperfect 꿀고구마 (1kg),1,10,0.1,"2025-04-01"
23,[냉장][장흥명품한우할인직판장] 구이1호 1.3kg(등심600g+채끝500g+안심200g),1,10,0.1,"2025-04-01"
24,[하림] 동물복지 IFF 한입쏙 닭가슴살 오리지널 (500g),2,10,0.2,"2025-04-01"
25,[지도표 성경김] 세번 구운 김밥김 (10매 22g),1,10,0.1,"2025-04-01"
26,버터 450g(해동),2,10,0.2,"2025-04-01"
27,서울우유 2.3L,1,10,0.1,"2025-04-01"
28,[냉장][노르웨이] 소금간 붉은볼락 (대 마리),1,15,0.0666667,"2025-04-01"
29,소소한하루 양파,3,30,0.1,"2025-04-01"
30,프레지덩 스프레더블치즈140g * 2입,1,10,0.1,"2025-04-01"
31,깔끔 손질 새송이버섯 (300g),1,10,0.1,"2025-04-01"
32,브로콜리 (1입/봉),1,10,0.1,"2025-04-01"
33,친환경 당근 500g,1,12,0.0833333,"2025-04-01"
34,쫄깃한 메밀국수 500g,1,10,0.1,"2025-04-01"
35,깨끗한 양배추 1.5kg,2,10,0.2,"2025-04-01"
36,볶음깨소금 250g,1,20,0.05,"2025-04-01"
37,[냉장] [1++ No.9] 한우 칼로 다진 다짐육 200g,2,15,0.133333,"2025-04-01"
38,"6년근 수삼 왕왕대 1채 인삼 선물세트(4뿌리/750g)",1,10,0.1,"2025-04-01"
39,하프 마요네즈 525g,1,10,0.1,"2025-04-01"
40,폰타나 카르니아 베이컨&머쉬룸 크림 파스타소스 430g,1,10,0.1,"2025-04-01"
41,다시마면 세트 25인분(다시마면X25+비빔소스X15+메밀소바소스X10)..[35093606],1,10,0.1,"2025-04-01"
42,이금기 팬더굴소스 510G,1,10,0.1,"2025-04-01"
43,CJ 아삭통통숙주 380g,1,10,0.1,"2025-04-01"
44,가쓰오부시 40g,1,10,0.1,"2025-04-01"
45,튜브형 다진마늘 80g,3,63,0.047619,"2025-04-01"
46,[기장] 비빔밥용 해초샐러드 (10g) (비빔소스50g 동봉),1,10,0.1,"2025-04-01"
47,친환경 팽이버섯 150g,2,10,0.2,"2025-04-01"
48,사과식초 900ml,1,10,0.1,"2025-04-01"
49,미국냉동우삼겹바로구이600g,1,10,0.1,"2025-04-01"
50,흙당근 (1kg),3,21,0.142857,"2025-04-01"
51,국내산 갈비 찜용 (100g),1,10,0.1,"2025-04-01"
52,[냉장/미국산] 초이스 아롱사태 500g,1,10,0.1,"2025-04-01"
53,옛날 자른 미역 (50g),1,10,0.1,"2025-04-01"
54,수제망 햇 양파 (1.8kg내외/망),2,38,0.0526316,"2025-04-01"
55,백설 자일로스설탕(갈색) 1kg,1,16,0.0625,"2025-04-01"
56,미림 900ml,2,10,0.2,"2025-04-01"
57,무항생제 닭 (볶음탕용) (800g),1,10,0.1,"2025-04-01"
