"userNum","logType","timestamp","parameter","osType","partitionDate"
1,login,"2025-04-22 17:10:10","{""id"": ""cook6583""}",unknown,"2025-04-22"
1,websiteOpen,"2025-04-22 17:10:11","{""이름"": [""레시피A"", ""레시피B"", ""레시피C""], ""노출순서"": [1, 2, 3]}",unknown,"2025-04-22"
1,login,"2025-04-22 17:11:37","{""id"": ""cook6583""}",unknown,"2025-04-22"
1,websiteOpen,"2025-04-22 17:11:37","{""이름"": [""레시피A"", ""레시피B"", ""레시피C""], ""노출순서"": [1, 2, 3]}",unknown,"2025-04-22"
1,login,"2025-04-22 17:11:59","{""id"": ""cook6583""}",unknown,"2025-04-22"
1,websiteOpen,"2025-04-22 17:11:59","{""이름"": [""레시피A"", ""레시피B"", ""레시피C""], ""노출순서"": [1, 2, 3]}",unknown,"2025-04-22"
1,login,"2025-04-22 17:13:09","{""id"": ""cook6583""}",unknown,"2025-04-22"
1,websiteOpen,"2025-04-22 17:13:10","{""이름"": [""레시피A"", ""레시피B"", ""레시피C""], ""노출순서"": [1, 2, 3]}",unknown,"2025-04-22"
1,login,"2025-04-22 17:14:35","{""id"": ""cook6583""}",unknown,"2025-04-22"
1,websiteOpen,"2025-04-22 17:14:36","{""이름"": [""레시피A"", ""레시피B"", ""레시피C""], ""노출순서"": [1, 2, 3]}",unknown,"2025-04-22"
1,logout,"2025-04-22 17:17:03","{}",unknown,"2025-04-22"
4,login,"2025-04-22 17:17:16","{""id"": ""go3053""}",unknown,"2025-04-22"
4,logout,"2025-04-22 17:19:18","{}",unknown,"2025-04-22"
9,login,"2025-04-22 17:19:27","{""id"": ""run7652""}",unknown,"2025-04-22"
9,login,"2025-04-22 17:22:40","{""id"": ""run7652""}",unknown,"2025-04-22"
9,websiteOpen,"2025-04-22 17:22:41","{""이름"": [""레시피A"", ""레시피B"", ""레시피C""], ""노출순서"": [1, 2, 3]}",unknown,"2025-04-22"
3,login,"2025-04-22 17:24:15","{""id"": ""code685""}",unknown,"2025-04-22"
3,websiteOpen,"2025-04-22 17:24:15","{""이름"": [""레시피A"", ""레시피B"", ""레시피C""], ""노출순서"": [1, 2, 3]}",unknown,"2025-04-22"
3,logout,"2025-04-22 17:28:07","{}",unknown,"2025-04-22"
3,login,"2025-04-22 17:28:27","{""id"": ""code685""}",unknown,"2025-04-22"
3,logout,"2025-04-22 17:28:42","{}",unknown,"2025-04-22"
3,login,"2025-04-22 17:35:38","{""id"": ""code685""}",unknown,"2025-04-22"
3,websiteOpen,"2025-04-22 17:35:38","{""이름"": [""레시피A"", ""레시피B"", ""레시피C""], ""노출순서"": [1, 2, 3]}",unknown,"2025-04-22"
3,login,"2025-04-22 17:37:08","{""id"": ""code685""}",unknown,"2025-04-22"
3,websiteOpen,"2025-04-22 17:37:08","{""이름"": [""레시피A"", ""레시피B"", ""레시피C""], ""노출순서"": [1, 2, 3]}",unknown,"2025-04-22"
8,login,"2025-04-22 17:42:23","{""id"": ""code388""}",unknown,"2025-04-22"
8,websiteOpen,"2025-04-22 17:42:23","{""이름"": [""레시피A"", ""레시피B"", ""레시피C""], ""노출순서"": [1, 2, 3]}",unknown,"2025-04-22"
1,login,"2025-04-23 10:12:06","{""id"": ""cook6583""}",unknown,"2025-04-23"
1,websiteOpen,"2025-04-23 10:12:06","{""이름"": [""레시피A"", ""레시피B"", ""레시피C""], ""노출순서"": [1, 2, 3]}",unknown,"2025-04-23"
1,login,"2025-04-23 10:19:55","{""id"": ""cook6583""}",unknown,"2025-04-23"
1,websiteOpen,"2025-04-23 10:19:55","{""이름"": [""레시피A"", ""레시피B"", ""레시피C""], ""노출순서"": [1, 2, 3]}",unknown,"2025-04-23"
1,login,"2025-04-23 10:25:09","{""id"": ""cook6583""}",unknown,"2025-04-23"
1,websiteOpen,"2025-04-23 10:25:09","{""이름"": [""레시피A"", ""레시피B"", ""레시피C""], ""노출순서"": [1, 2, 3]}",unknown,"2025-04-23"
1,login,"2025-04-23 10:27:06","{""id"": ""cook6583""}",unknown,"2025-04-23"
1,websiteOpen,"2025-04-23 10:27:06","{""이름"": [""레시피A"", ""레시피B"", ""레시피C""], ""노출순서"": [1, 2, 3]}",unknown,"2025-04-23"
1,login,"2025-04-23 10:48:24","{""id"": ""cook6583""}",unknown,"2025-04-23"
1,websiteOpen,"2025-04-23 10:48:24","{""이름"": [""레시피A"", ""레시피B"", ""레시피C""], ""노출순서"": [1, 2, 3]}",unknown,"2025-04-23"
1,login,"2025-04-23 11:37:26","{""id"": ""cook6583""}",unknown,"2025-04-23"
1,websiteOpen,"2025-04-23 11:37:26","{""이름"": [""레시피A"", ""레시피B"", ""레시피C""], ""노출순서"": [1, 2, 3]}",unknown,"2025-04-23"
1,login,"2025-04-23 12:45:42","{""id"": ""cook6583""}",unknown,"2025-04-23"
1,websiteOpen,"2025-04-23 12:45:43","{""이름"": [""레시피A"", ""레시피B"", ""레시피C""], ""노출순서"": [1, 2, 3]}",unknown,"2025-04-23"
1,login,"2025-04-23 12:50:17","{""id"": ""cook6583""}",unknown,"2025-04-23"
1,websiteOpen,"2025-04-23 12:50:17","{""이름"": [""레시피A"", ""레시피B"", ""레시피C""], ""노출순서"": [1, 2, 3]}",unknown,"2025-04-23"
1,login,"2025-04-23 13:01:37","{""id"": ""cook6583""}",unknown,"2025-04-23"
1,websiteOpen,"2025-04-23 13:01:37","{""이름"": [""레시피A"", ""레시피B"", ""레시피C""], ""노출순서"": [1, 2, 3]}",unknown,"2025-04-23"
1,login,"2025-04-23 13:18:04","{""id"": ""cook6583""}",unknown,"2025-04-23"
1,websiteOpen,"2025-04-23 13:18:04","{""이름"": [""레시피A"", ""레시피B"", ""레시피C""], ""노출순서"": [1, 2, 3]}",unknown,"2025-04-23"
1,login,"2025-04-23 13:25:53","{""id"": ""cook6583""}",unknown,"2025-04-23"
1,websiteOpen,"2025-04-23 13:25:54","{""이름"": [""레시피A"", ""레시피B"", ""레시피C""], ""노출순서"": [1, 2, 3]}",unknown,"2025-04-23"
1,login,"2025-04-23 13:57:04","{""id"": ""cook6583""}",unknown,"2025-04-23"
1,websiteOpen,"2025-04-23 13:57:04","{""이름"": [""레시피A"", ""레시피B"", ""레시피C""], ""노출순서"": [1, 2, 3]}",unknown,"2025-04-23"
1,login,"2025-04-23 14:49:12","{""id"": ""cook6583""}",unknown,"2025-04-23"
1,websiteOpen,"2025-04-23 14:49:12","{""이름"": [""레시피A"", ""레시피B"", ""레시피C""], ""노출순서"": [1, 2, 3]}",unknown,"2025-04-23"
1,login,"2025-04-23 14:51:23","{""id"": ""cook6583""}",unknown,"2025-04-23"
1,websiteOpen,"2025-04-23 14:51:24","{""이름"": [""레시피A"", ""레시피B"", ""레시피C""], ""노출순서"": [1, 2, 3]}",unknown,"2025-04-23"
1,login,"2025-04-23 14:52:03","{""id"": ""cook6583""}",unknown,"2025-04-23"
1,websiteOpen,"2025-04-23 14:52:03","{""이름"": [""레시피A"", ""레시피B"", ""레시피C""], ""노출순서"": [1, 2, 3]}",unknown,"2025-04-23"
1,login,"2025-04-23 14:58:03","{""id"": ""cook6583""}",unknown,"2025-04-23"
1,websiteOpen,"2025-04-23 14:58:03","{""이름"": [""레시피A"", ""레시피B"", ""레시피C""], ""노출순서"": [1, 2, 3]}",unknown,"2025-04-23"
1,login,"2025-04-23 15:07:37","{""id"": ""cook6583""}",unknown,"2025-04-23"
1,websiteOpen,"2025-04-23 15:07:37","{""이름"": [""레시피A"", ""레시피B"", ""레시피C""], ""노출순서"": [1, 2, 3]}",unknown,"2025-04-23"
1,login,"2025-04-23 15:15:46","{""id"": ""cook6583""}",unknown,"2025-04-23"
1,websiteOpen,"2025-04-23 15:15:46","{""이름"": [""레시피A"", ""레시피B"", ""레시피C""], ""노출순서"": [1, 2, 3]}",unknown,"2025-04-23"
1,login,"2025-04-23 15:16:53","{""id"": ""cook6583""}",unknown,"2025-04-23"
1,websiteOpen,"2025-04-23 15:16:54","{""이름"": [""레시피A"", ""레시피B"", ""레시피C""], ""노출순서"": [1, 2, 3]}",unknown,"2025-04-23"
1,login,"2025-04-23 15:19:01","{""id"": ""cook6583""}",unknown,"2025-04-23"
1,websiteOpen,"2025-04-23 15:19:01","{""이름"": [""레시피A"", ""레시피B"", ""레시피C""], ""노출순서"": [1, 2, 3]}",unknown,"2025-04-23"
1,login,"2025-04-23 15:20:14","{""id"": ""cook6583""}",unknown,"2025-04-23"
1,websiteOpen,"2025-04-23 15:20:15","{""이름"": [""레시피A"", ""레시피B"", ""레시피C""], ""노출순서"": [1, 2, 3]}",unknown,"2025-04-23"
1,login,"2025-04-23 15:22:35","{""id"": ""cook6583""}",unknown,"2025-04-23"
1,websiteOpen,"2025-04-23 15:22:35","{""이름"": [""레시피A"", ""레시피B"", ""레시피C""], ""노출순서"": [1, 2, 3]}",unknown,"2025-04-23"
1,login,"2025-04-23 15:24:20","{""id"": ""cook6583""}",unknown,"2025-04-23"
1,websiteOpen,"2025-04-23 15:24:20","{""이름"": [""레시피A"", ""레시피B"", ""레시피C""], ""노출순서"": [1, 2, 3]}",unknown,"2025-04-23"
1,login,"2025-04-23 15:26:40","{""id"": ""cook6583""}",unknown,"2025-04-23"
1,websiteOpen,"2025-04-23 15:26:41","{""이름"": [""레시피A"", ""레시피B"", ""레시피C""], ""노출순서"": [1, 2, 3]}",unknown,"2025-04-23"
1,login,"2025-04-23 15:27:35","{""id"": ""cook6583""}",unknown,"2025-04-23"
1,websiteOpen,"2025-04-23 15:27:35","{""이름"": [""레시피A"", ""레시피B"", ""레시피C""], ""노출순서"": [1, 2, 3]}",unknown,"2025-04-23"
1,login,"2025-04-23 15:33:52","{""id"": ""cook6583""}",unknown,"2025-04-23"
1,websiteOpen,"2025-04-23 15:33:52","{""이름"": [""레시피A"", ""레시피B"", ""레시피C""], ""노출순서"": [1, 2, 3]}",unknown,"2025-04-23"
1,login,"2025-04-23 15:37:11","{""id"": ""cook6583""}",unknown,"2025-04-23"
1,websiteOpen,"2025-04-23 15:37:12","{""이름"": [""레시피A"", ""레시피B"", ""레시피C""], ""노출순서"": [1, 2, 3]}",unknown,"2025-04-23"
1,login,"2025-04-23 15:38:44","{""id"": ""cook6583""}",unknown,"2025-04-23"
1,websiteOpen,"2025-04-23 15:38:44","{""이름"": [""레시피A"", ""레시피B"", ""레시피C""], ""노출순서"": [1, 2, 3]}",unknown,"2025-04-23"
1,login,"2025-04-23 15:40:48","{""id"": ""cook6583""}",unknown,"2025-04-23"
1,websiteOpen,"2025-04-23 15:40:48","{""이름"": [""레시피A"", ""레시피B"", ""레시피C""], ""노출순서"": [1, 2, 3]}",unknown,"2025-04-23"
1,login,"2025-04-23 15:49:05","{""id"": ""cook6583""}",unknown,"2025-04-23"
1,websiteOpen,"2025-04-23 15:49:06","{""이름"": [""레시피A"", ""레시피B"", ""레시피C""], ""노출순서"": [1, 2, 3]}",unknown,"2025-04-23"
1,login,"2025-04-23 16:00:36","{""id"": ""cook6583""}",unknown,"2025-04-23"
1,websiteOpen,"2025-04-23 16:00:36","{""이름"": [""레시피A"", ""레시피B"", ""레시피C""], ""노출순서"": [1, 2, 3]}",unknown,"2025-04-23"
1,login,"2025-04-23 16:15:59","{""id"": ""cook6583""}",unknown,"2025-04-23"
1,websiteOpen,"2025-04-23 16:15:59","{""이름"": [""레시피A"", ""레시피B"", ""레시피C""], ""노출순서"": [1, 2, 3]}",unknown,"2025-04-23"
1,login,"2025-04-23 16:29:25","{""id"": ""cook6583""}",unknown,"2025-04-23"
1,websiteOpen,"2025-04-23 16:29:25","{""이름"": [""레시피A"", ""레시피B"", ""레시피C""], ""노출순서"": [1, 2, 3]}",unknown,"2025-04-23"
1,login,"2025-04-23 16:30:56","{""id"": ""cook6583""}",unknown,"2025-04-23"
1,websiteOpen,"2025-04-23 16:30:56","{""이름"": [""레시피A"", ""레시피B"", ""레시피C""], ""노출순서"": [1, 2, 3]}",unknown,"2025-04-23"
1,login,"2025-04-23 16:32:44","{""id"": ""cook6583""}",unknown,"2025-04-23"
1,websiteOpen,"2025-04-23 16:32:44","{""이름"": [""레시피A"", ""레시피B"", ""레시피C""], ""노출순서"": [1, 2, 3]}",unknown,"2025-04-23"
1,login,"2025-04-23 16:35:44","{""id"": ""cook6583""}",unknown,"2025-04-23"
1,websiteOpen,"2025-04-23 16:35:44","{""이름"": [""레시피A"", ""레시피B"", ""레시피C""], ""노출순서"": [1, 2, 3]}",unknown,"2025-04-23"
1,login,"2025-04-23 16:39:13","{""id"": ""cook6583""}",unknown,"2025-04-23"
1,websiteOpen,"2025-04-23 16:39:14","{""이름"": [""레시피A"", ""레시피B"", ""레시피C""], ""노출순서"": [1, 2, 3]}",unknown,"2025-04-23"
1,login,"2025-04-23 16:54:40","{""id"": ""cook6583""}",unknown,"2025-04-23"
1,websiteOpen,"2025-04-23 16:54:40","{""이름"": [""레시피A"", ""레시피B"", ""레시피C""], ""노출순서"": [1, 2, 3]}",unknown,"2025-04-23"
1,login,"2025-04-23 16:58:40","{""id"": ""cook6583""}",unknown,"2025-04-23"
1,websiteOpen,"2025-04-23 16:58:40","{""이름"": [""레시피A"", ""레시피B"", ""레시피C""], ""노출순서"": [1, 2, 3]}",unknown,"2025-04-23"
1,login,"2025-04-23 17:00:04","{""id"": ""cook6583""}",unknown,"2025-04-23"
1,websiteOpen,"2025-04-23 17:00:12","{""이름"": [""레시피A"", ""레시피B"", ""레시피C""], ""노출순서"": [1, 2, 3]}",unknown,"2025-04-23"
1,login,"2025-04-23 17:02:25","{""id"": ""cook6583""}",unknown,"2025-04-23"
1,websiteOpen,"2025-04-23 17:02:25","{""이름"": [""레시피A"", ""레시피B"", ""레시피C""], ""노출순서"": [1, 2, 3]}",unknown,"2025-04-23"
1,login,"2025-04-23 17:08:35","{""id"": ""cook6583""}",unknown,"2025-04-23"
1,websiteOpen,"2025-04-23 17:08:35","{""이름"": [""레시피A"", ""레시피B"", ""레시피C""], ""노출순서"": [1, 2, 3]}",unknown,"2025-04-23"
1,login,"2025-04-23 17:15:43","{""id"": ""cook6583""}",unknown,"2025-04-23"
1,websiteOpen,"2025-04-23 17:15:43","{""이름"": [""레시피A"", ""레시피B"", ""레시피C""], ""노출순서"": [1, 2, 3]}",unknown,"2025-04-23"
1,login,"2025-04-23 17:17:55","{""id"": ""cook6583""}",unknown,"2025-04-23"
1,websiteOpen,"2025-04-23 17:17:55","{""이름"": [""레시피A"", ""레시피B"", ""레시피C""], ""노출순서"": [1, 2, 3]}",unknown,"2025-04-23"
1,login,"2025-04-23 17:19:25","{""id"": ""cook6583""}",unknown,"2025-04-23"
1,websiteOpen,"2025-04-23 17:19:25","{""이름"": [""레시피A"", ""레시피B"", ""레시피C""], ""노출순서"": [1, 2, 3]}",unknown,"2025-04-23"
1,login,"2025-04-23 17:20:39","{""id"": ""cook6583""}",unknown,"2025-04-23"
1,websiteOpen,"2025-04-23 17:20:39","{""이름"": [""레시피A"", ""레시피B"", ""레시피C""], ""노출순서"": [1, 2, 3]}",unknown,"2025-04-23"
1,login,"2025-04-23 17:23:43","{""id"": ""cook6583""}",unknown,"2025-04-23"
1,websiteOpen,"2025-04-23 17:23:44","{""이름"": [""레시피A"", ""레시피B"", ""레시피C""], ""노출순서"": [1, 2, 3]}",unknown,"2025-04-23"
